Name,Team,City,Position,Jersey,Height (ft),Weight (lbs),Draft Year,Draft Round,Draft Number,School,Birthday,Start Year,End Year,PTS,AST,REB
Quincy Acy,,,,,,,2012,2,37,Baylor,10/6/1990,2012,2018,4.9,0.6,3.5
Alvan Adams,Suns,Phoenix,Center,33,6.9,210,1975,1,4,Oklahoma,7/19/1954,1975,1987,14.1,4.1,7
Don Adams,Pistons,Detroit,Forward,10,6.7,210,1970,8,120,Northwestern,11/27/1947,1970,1976,8.7,1.8,5.6
Hassan Adams,,,,,,,2006,2,54,Arizona,6/20/1984,2006,2008,2.5,0.2,1.2
Jaylen Adams,Trail Blazers,Portland,Guard,10,6,225,Undrafted,Undrafted,Undrafted,St. Bonaventure,5/4/1996,2018,2019,3.2,1.9,1.8
Jordan Adams,Grizzlies,Memphis,Guard,3,6.5,209,2014,1,22,UCLA,7/8/1994,2014,2015,3.2,0.6,0.9
Michael Adams,Nuggets,Denver,Guard,23,5.1,165,1985,3,66,Boston College,1/19/1963,1985,1995,14.7,6.4,2.9
Steven Adams,Thunder,Oklahoma City,Center,12,6.1,265,2013,1,12,Pittsburgh,7/20/1993,2013,Present,10.9,2.3,9.3
Rafael Addison,Nets,New Jersey,Forward,7,6.8,241,1986,2,39,Syracuse,7/22/1964,1986,1996,5.8,0.9,2.1
Bam Adebayo,Heat,Miami,Center-Forward,13,6.9,255,2017,1,14,Kentucky,7/18/1997,2017,Present,15.9,5.1,10.2
Deng Adel,Cavaliers,Cleveland,Forward,32,6.7,200,Undrafted,Undrafted,Undrafted,Louisville,2/1/1997,2018,2018,1.7,0.3,1
Rick Adelman,Trail Blazers,Portland,Guard,5,6.2,175,1968,7,79,Loyola-Marymount,6/16/1946,1968,1974,7.7,3.5,2.4
Jeff Adrien,,,,,,,Undrafted,Undrafted,Undrafted,Connecticut,2/10/1986,2010,2014,4.6,0.7,4.3
Arron Afflalo,Nuggets,Denver,Guard,4,6.5,210,2007,1,27,UCLA,10/15/1985,2007,2017,10.8,1.8,2.9
Maurice Ager,,,,,,,2006,1,28,Michigan State,2/9/1984,2006,2010,2.1,0.2,0.6
Mark Aguirre,Mavericks,Dallas,Forward,7,6.6,232,1981,1,1,DePaul,12/10/1959,1981,1993,20,3.1,5
Blake Ahearn,Heat,Miami,Guard,2,6.2,190,Undrafted,Undrafted,Undrafted,Missouri State,5/27/1984,2007,2011,4.6,1.2,1.2
Danny Ainge,Celtics,Boston,Guard,22,6.5,175,1981,2,31,Brigham Young,3/17/1959,1981,1994,11.5,4,2.7
Alexis Ajinca,Pelicans,New Orleans,Center,42,7.2,248,2008,1,20,,5/6/1988,2008,2017,5.3,0.5,3.9
Henry Akin,Knicks,New York,Center,10,6.1,225,1966,2,11,Morehead State,7/31/1944,1966,1967,3.5,0.5,2.1
Josh Akognon,Mavericks,Dallas,Guard,10,5.11,185,Undrafted,Undrafted,Undrafted,Cal State-Fullerton,2/10/1986,2012,2012,1.7,0.3,0.3
DeVaughn Akoon-Purcell,,,,,,,Undrafted,Undrafted,Undrafted,Illinois State,6/5/1993,2018,2018,1,0.9,0.6
Solomon Alabi,Raptors,Toronto,Center,50,7.1,252,2010,2,50,Florida State,3/21/1988,2010,2011,1.5,0.2,2.3
Mark Alarie,Bullets,Washington,Forward,31,6.8,217,1986,1,18,Duke,12/11/1963,1986,1990,7.5,1.1,3.4
Gary Alcorn,Pistons,Detroit,Center,24,6.9,225,1959,3,16,Fresno State,10/8/1936,1959,1960,3.3,0.3,4.2
Furkan Aldemir,76ers,Philadelphia,Forward-Center,19,6.1,240,2012,2,53,,8/9/1991,2014,2014,2.3,0.7,4.3
Cole Aldrich,Knicks,New York,Center,45,6.1,253,2010,1,11,Kansas,10/31/1988,2010,2017,3.1,0.5,3.3
LaMarcus Aldridge,Spurs,San Antonio,Center-Forward,12,6.1,250,2006,1,2,Texas,7/19/1985,2006,Present,18.9,2.4,7.4
Chuck Aleksinas,Warriors,Golden State,Center,50,6.1,260,1982,4,76,Connecticut,2/26/1959,1984,1984,5.1,0.5,3.6
Cliff Alexander,Trail Blazers,Portland,Forward,34,6.8,240,Undrafted,Undrafted,Undrafted,Kansas,11/16/1995,2015,2015,1.3,0,0.8
Cory Alexander,Spurs,San Antonio,Guard,12,6.1,190,1995,1,29,Virginia,6/22/1973,1995,2004,5.5,2.7,1.6
Courtney Alexander,Wizards,Washington,Guard,32,6.5,205,2000,1,13,Fresno State,4/27/1977,2000,2003,9,1.2,2.2
Gary Alexander,Cavaliers,Cleveland,Forward,16,6.7,240,Undrafted,Undrafted,Undrafted,South Florida,11/1/1969,1993,1993,1.7,0.2,1.4
Joe Alexander,Bucks,Milwaukee,Forward,20,6.8,230,2008,1,8,West Virginia,12/26/1986,2008,2009,4.2,0.7,1.8
Kyle Alexander,Heat,Miami,Forward-Center,17,6.1,216,Undrafted,Undrafted,Undrafted,Tennessee,10/21/1996,2019,Present,1,0,1.5
Victor Alexander,Warriors,Golden State,Forward,9,6.1,265,1991,1,17,Iowa State,8/31/1969,1991,2001,8.9,0.9,4.8
Nickeil Alexander-Walker,Pelicans,New Orleans,Guard,0,6.5,205,2019,1,17,Virginia Tech,9/2/1998,2019,Present,5.7,1.9,1.8
Steve Alford,Mavericks,Dallas,Guard,4,6.2,183,1987,2,26,Indiana,11/23/1964,1987,1990,4.4,1,0.9
Rawle Alkins,Bulls,Chicago,Guard,20,6.5,225,Undrafted,Undrafted,Undrafted,Arizona,10/29/1997,2018,2018,3.7,1.3,2.6
Bob Allen,Warriors,San Francisco,Forward,50,6.9,205,1968,6,71,Marshall,7/17/1946,1968,1968,1.8,0.4,2.1
Grayson Allen,Grizzlies,Memphis,Guard,3,6.4,198,2018,1,21,Duke,10/8/1995,2018,Present,8.7,1.4,2.2
Jarrett Allen,Nets,Brooklyn,Center,31,6.1,243,2017,1,22,Texas,4/21/1998,2017,Present,11.1,1.6,9.6
Jerome Allen,Pacers,Indiana,Guard,53,6.4,184,1995,2,49,Pennsylvania,1/28/1973,1995,1996,2.9,1.7,1.1
Kadeem Allen,,,,,,,2017,2,53,Arizona,1/15/1993,2017,Present,5,2.1,0.9
Lavoy Allen,Pacers,Indiana,Forward-Center,5,6.9,260,2011,2,50,Temple,2/4/1989,2011,2016,4.8,1,4.8
Lucius Allen,Bucks,Milwaukee,Guard,42,6.2,175,1969,1,3,California-Los Angeles,9/26/1947,1969,1978,13.4,4.5,3.1
Malik Allen,Heat,Miami,Forward,35,6.1,255,Undrafted,Undrafted,Undrafted,Villanova,6/27/1978,2001,2010,4.9,0.5,2.8
Randy Allen,Kings,Sacramento,Forward,33,6.8,220,Undrafted,Undrafted,Undrafted,Florida State,1/26/1965,1988,1989,3.6,0.3,2.1
Ray Allen,Bucks,Milwaukee,Guard,34,6.5,205,1996,1,5,Connecticut,7/20/1975,1996,2013,18.9,3.4,4.1
Tony Allen,,,,,,,2004,1,25,Oklahoma State,1/11/1982,2004,2017,8.1,1.3,3.5
Odis Allison,Warriors,Golden State,Forward,22,6.6,195,1971,5,76,Nevada-Las Vegas,10/2/1949,1971,1971,1.9,0.3,1.3
Lance Allred,Cavaliers,Cleveland,Center,41,6.1,250,Undrafted,Undrafted,Undrafted,Weber State,2/2/1981,2007,2007,1,0,0.3
Darrell Allums,Mavericks,Dallas,Forward,32,6.8,220,1980,5,103,California-Los Angeles,9/12/1958,1980,1980,2.7,1.1,3
Morris Almond,Jazz,Utah,Guard,21,6.6,225,2007,1,25,Rice,2/2/1985,2007,2011,3.1,0.3,1.2
Derrick Alston,,,,,,,1994,2,33,Duquesne,8/20/1972,1994,1996,5.4,0.7,3.8
Rafer Alston,Rockets,Houston,Guard,11,6.2,175,1998,2,39,Fresno State,7/24/1976,1999,2009,10.1,4.8,2.8
Peter Aluma,,,,,,,Undrafted,Undrafted,Undrafted,Liberty,4/26/1973,1998,1998,1,0,1
John Amaechi,Magic,Orlando,Forward-Center,13,6.1,270,Undrafted,Undrafted,Undrafted,Penn State,11/26/1970,1995,2002,6.2,0.8,2.6
Ashraf Amaya,,,,,,,Undrafted,Undrafted,Undrafted,Southern Illinois,11/23/1971,1995,1996,4.5,0.4,4.2
Al-Farouq Aminu,Magic,Orlando,Forward,2,6.8,220,2010,1,8,Wake Forest,9/21/1990,2010,Present,4.3,1.2,4.8
Lou Amundson,Suns,Phoenix,Forward,17,6.9,220,Undrafted,Undrafted,Undrafted,Nevada-Las Vegas,12/7/1982,2006,2015,3.7,0.4,3.6
Bob Anderegg,Knicks,New York,Forward,18,6.3,200,1959,3,20,Michigan State,8/24/1937,1959,1959,4,0.9,2.1
Chris Andersen,,,,,,,Undrafted,Undrafted,Undrafted,Blinn,7/7/1978,2001,2016,5.4,0.5,5
David Andersen,,,,,,,2002,2,36,,6/23/1980,2009,2017,4.9,0.6,2.8
Alan Anderson,Nets,Brooklyn,Forward-Guard,9,6.6,220,Undrafted,Undrafted,Undrafted,Michigan State,10/16/1982,2005,2016,7.3,1.1,2.2
Antonio Anderson,,,,,,,Undrafted,Undrafted,Undrafted,Memphis,6/5/1985,2009,2009,2,0,1
Cliff Anderson,Lakers,Los Angeles,Guard,26,6.2,200,1967,4,35,Saint Joseph's,9/7/1944,1967,1970,3,0.8,1.3
Daniel Anderson,Trail Blazers,Portland,Guard,33,6.2,185,1974,6,92,Southern California,1/1/1951,1974,1975,3.7,1.7,1
Derek Anderson,Trail Blazers,Portland,Guard,1,6.5,195,1997,1,13,Kentucky,7/18/1974,1997,2007,12,3.4,3.2
Dwight Anderson,Nuggets,Denver,Guard,20,6.3,185,1982,2,41,Southern California,12/28/1960,1982,1982,4.2,0.6,0.4
Eric Anderson,Knicks,New York,Forward,42,6.9,220,Undrafted,Undrafted,Undrafted,Indiana,5/26/1970,1992,1993,1.6,0.2,1.1
Greg Anderson,Spurs,San Antonio,Center-Forward,0,6.1,250,1987,1,23,Houston,6/22/1964,1987,1997,7.3,0.6,6.2
James Anderson,Spurs,San Antonio,Guard-Forward,5,6.6,213,2010,1,20,Oklahoma State,3/25/1989,2010,2015,5.8,1.2,2.3
Jerome Anderson,Pacers,Indiana,Guard,21-23,6.5,195,1975,3,53,West Virginia,10/9/1953,1975,1976,2.6,0.3,0.5
Justin Anderson,Nets,Brooklyn,Forward-Guard,10,6.5,231,2015,1,21,Virginia,11/19/1993,2015,Present,2.8,0.8,2.1
Kenny Anderson,,,,,,,1991,1,2,Georgia Tech,10/9/1970,1991,2004,12.6,6.1,3.1
Kim Anderson,Trail Blazers,Portland,Forward,42,6.7,200,1978,7,146,Missouri,5/12/1955,1978,1978,3,0.7,2.1
Kyle Anderson,Grizzlies,Memphis,Forward-Guard,1,6.9,230,2014,1,30,UCLA,9/20/1993,2014,Present,5.8,2.4,4.3
Michael Anderson,Spurs,San Antonio,Guard,10,5.11,184,1988,3,73,Drexel,3/23/1966,1988,1988,5.7,4.3,2.5
Mitchell Anderson,Jazz,Utah,Forward,11,6.8,195,1982,2,36,Bradley,9/23/1960,1982,1984,4.8,0.7,2.8
Nick Anderson,Magic,Orlando,Forward-Guard,5,6.6,228,1989,1,11,Illinois,1/20/1968,1989,2002,14.4,2.6,5.1
Richard Anderson,Trail Blazers,Portland,Forward,35,6.1,240,1982,2,32,California-Santa Barbara,11/19/1960,1982,1989,5.6,1.5,3.5
Ron Anderson,76ers,Philadelphia,Forward,35,6.7,215,1984,2,27,Fresno State,10/15/1958,1984,1993,10.6,1.4,3.5
Ryan Anderson,,,,,,,2008,1,21,California,5/6/1988,2008,Present,2.5,1,3.5
Shandon Anderson,Knicks,New York,Guard-Forward,49,6.6,215,1996,2,54,Georgia,12/31/1973,1996,2005,7.4,1.4,3.1
Willie Anderson,Spurs,San Antonio,Guard-Forward,35,6.8,200,1988,1,10,Georgia,1/8/1967,1988,1996,12.2,3.8,3.8
Wally Anderzunas,Royals,Cincinnati,Center,21,6.7,220,1969,2,25,Creighton,1/11/1946,1969,1969,3.6,0.2,1.9
Martynas Andriuskevicius,Cavaliers,Cleveland,Center,15,7.2,240,2005,2,44,,3/12/1986,2005,2006,0,0,0.7
Don Anielak,Knicks,New York,Forward,12,6.7,190,1954,3,26,Missouri State,11/1/1930,1954,1954,3,0,2
Ike Anigbogu,,,,,,,2017,2,47,UCLA,10/16/1998,2017,2018,0.9,0.1,0.9
Michael Ansley,Magic,Orlando,Forward,54,6.7,225,1989,2,37,Alabama,2/8/1967,1989,1991,6.9,0.4,4.2
Chris Anstey,Mavericks,Dallas,Center,22,7,249,1997,1,18, ,1/1/1975,1997,1999,5.2,0.8,3.4
Giannis Antetokounmpo,Bucks,Milwaukee,Forward,34,6.1,242,2013,1,15, ,12/6/1994,2013,Present,29.5,5.6,13.6
Kostas Antetokounmpo,Lakers,Los Angeles,Forward,37,6.1,200,2018,2,60,University of Dayton,11/20/1997,2018,Present,1.4,0.4,0.6
Thanasis Antetokounmpo,Bucks,Milwaukee,Forward,43,6.6,219,2014,2,51, ,7/18/1992,2015,Present,2.8,0.8,1.2
Carmelo Anthony,Trail Blazers,Portland,Forward,0,6.8,238,2003,1,3,Syracuse,5/29/1984,2003,Present,15.4,1.5,6.3
Greg Anthony,Knicks,New York,Guard,50,6.1,180,1991,1,12,Nevada-Las Vegas,11/15/1967,1991,2001,7.3,4,1.9
Joel Anthony,Heat,Miami,Center,30,6.9,245,Undrafted,Undrafted,Undrafted,Nevada-Las Vegas,8/9/1982,2007,2016,2.2,0.2,2.8
Pero Antic,Hawks,Atlanta,Forward-Center,6,6.1,260,Undrafted,Undrafted,Undrafted,Macedonia,7/29/1982,2013,2014,6.3,0.9,3.5
OG Anunoby,Raptors,Toronto,Forward,3,6.7,232,2017,1,23,Indiana,7/17/1997,2017,Present,10.6,1.6,5.3
Keith Appling,,,,,,,Undrafted,Undrafted,Undrafted,Michigan State,2/13/1992,2015,2015,1.2,0.2,0.2
Rafael Araujo,Raptors,Toronto,Center,55,6.1,270,2004,1,8,Brigham Young,8/12/1980,2004,2006,2.8,0.3,2.8
Stacey Arceneaux,Hawks,St. Louis,Forward, ,6.4,210,Undrafted,Undrafted,Undrafted,Iowa State,2/17/1936,1961,1961,7.1,0.6,4.6
Nate Archibald,Kings,Kansas City,Guard,1,6.1,150,1970,2,19,Texas-El Paso,9/2/1948,1970,1983,18.8,7.4,2.3
Robert Archibald,Raptors,Toronto,Forward,34,6.1,250,2002,2,31,Illinois,3/29/1980,2002,2003,1.2,0.4,1.6
Ryan Arcidiacono,Bulls,Chicago,Guard,51,6.3,195,Undrafted,Undrafted,Undrafted,Villanova,3/26/1994,2017,Present,4.5,1.7,1.9
Jim Ard,Celtics,Boston,Center,34,6.9,215,1970,1,6,Cincinnati,9/19/1948,1974,1977,3.5,0.7,3.8
Gilbert Arenas,Wizards,Washington,Guard,10,6.4,215,2001,2,30,Arizona,1/6/1982,2001,2011,20.7,5.3,3.9
Trevor Ariza,Trail Blazers,Portland,Forward,8,6.8,215,2004,2,43,UCLA,6/30/1985,2004,Present,8,1.7,4.6
Paul Arizin,Warriors,Philadelphia,Forward,11,6.4,190,1950,,,Villanova,4/9/1928,1950,1961,22.8,2.3,8.6
Joe Arlauckas,Kings,Sacramento,Forward,53,6.9,230,1987,4,74,Niagara,7/20/1965,1987,1987,3.8,0.9,1.4
B.J. Armstrong,Bulls,Chicago,Guard,11,6.2,185,1989,1,18,Iowa,9/9/1967,1989,1999,9.8,3.3,1.8
Bob Armstrong,Warriors,Philadelphia,Center,19,6.8,220,1955,,,Michigan State,6/17/1933,1956,1956,1.5,0.2,2.1
Brandon Armstrong,Nets,New Jersey,Guard,1,6.5,185,2001,1,23,Pepperdine,6/16/1980,2001,2003,2.2,0.2,0.6
Darrell Armstrong,Magic,Orlando,Guard,10,6.1,180,Undrafted,Undrafted,Undrafted,Fayetteville State,6/22/1968,1994,2007,9.2,4,2.7
Hilton Armstrong,Hornets,New Orleans,Forward-Center,57,6.1,235,2006,1,12,Connecticut,11/23/1984,2006,2013,3,0.3,2.6
Paul Armstrong,Pistons,Ft. Wayne Zollner,Guard,3,5.11,170,Undrafted,Undrafted,Undrafted,Indiana,11/1/1918,1948,1950,6.8,2.3,2.3
Tate Armstrong,Bulls,Chicago,Guard,14,6.3,175,1977,1,13,Duke,10/5/1955,1977,1978,3.8,1.1,1
Jesse Arnelle,Pistons,Ft. Wayne Zollner,Forward,15-18,6.5,220,1955,2,13,Penn State,12/30/1933,1955,1955,4.7,0.6,5.5
Jay Arnette,Royals,Cincinnati,Guard,21,6.2,175,1960,2,9,Texas,12/19/1938,1963,1965,3.7,1.2,1
Bob Arnzen,Royals,Cincinnati,Forward,21-30,6.5,205,1969,8,103,Notre Dame,11/3/1947,1970,1970,5.5,0.4,2.8
Carlos Arroyo,Magic,Orlando,Guard,45,6.2,200,Undrafted,Undrafted,Undrafted,Florida International,7/30/1979,2001,2010,6.6,3.1,1.7
Darrell Arthur,Nuggets,Denver,Forward,0,6.9,235,2008,1,27,Kansas,3/25/1988,2008,2017,6.5,0.8,3.5
John Arthurs,Bucks,Milwaukee,Guard,12,6.4,185,1969,6,73,Tulane,8/15/1947,1969,1969,3.2,1.5,1.3
Jamel Artis,Magic,Orlando,Guard,0,6.7,213,Undrafted,Undrafted,Undrafted,Pittsburgh,1/12/1993,2017,2017,5.1,1.2,2.5
Omer Asik,Pelicans,New Orleans,Center,3,7,255,2008,2,36, ,7/4/1986,2010,2017,5.3,0.6,7.1
Vincent Askew,,,,,,,1987,2,39,Memphis,2/28/1966,1987,1997,7.1,2.2,2.5
Keith Askins,Heat,Miami,Forward-Guard,2,6.8,215,Undrafted,Undrafted,Undrafted,Alabama,12/15/1967,1990,1998,3.8,0.8,2.9
Don Asmonga,Bullets,Baltimore,Guard,,6.2,185,Undrafted,Undrafted,Undrafted,Alliance,2/15/1928,1953,1953,0.7,0.7,0.1
Richard Atha,Knicks,New York,Guard,7,6.2,190,1953,,,Indiana State,9/21/1931,1955,1957,3.2,1.2,1.5
Chucky Atkins,Pistons,Detroit,Guard,17,5.11,185,Undrafted,Undrafted,Undrafted,South Florida,8/14/1974,1999,2009,9.9,3.4,1.7
Alvin Attles,Warriors,San Francisco,Guard,16,6.1,175,1960,5,39,North Carolina A&T,11/7/1936,1960,1970,8.9,3.5,3.5
Chet Aubuchon,Falcons,Detroit,Guard,,5.1,137,Undrafted,Undrafted,Undrafted,Michigan State,5/8/1916,1946,1946,2.2,0.7,
Stacey Augmon,Hawks,Atlanta,Forward-Guard,2,6.8,213,1991,1,9,Nevada-Las Vegas,8/1/1968,1991,2005,8,1.6,3.2
D.J. Augustin,Magic,Orlando,Guard,14,5.11,183,2008,1,9,Texas,11/10/1987,2008,Present,10.5,4.6,2.1
D.J. Augustin,Magic,Orlando,Guard,14,5.11,183,2008,1,9,Texas,11/10/1987,2008,Present,10.5,4.6,2.1
Ike Austin,,,,,,,1991,2,48,Arizona State,8/18/1969,1991,2001,7.6,1.2,4.7
John Austin,Bullets,Baltimore,Guard,34,6,170,1966,4,38,Boston College,8/31/1944,1966,1966,5.8,1,1.8
Ken Austin,Pistons,Detroit,Forward,34,6.9,205,1983,5,101,Rice,7/15/1961,1983,1983,1.7,0.1,0.4
Anthony Avent,Bucks,Milwaukee,Center,30,6.9,240,1991,1,15,Seton Hall,10/18/1969,1992,1999,5.6,0.8,4.5
William Averitt,Braves,Buffalo,Guard,15,6.2,170,1973,4,55,Pepperdine,7/22/1952,1976,1977,8.3,2.5,1.2
William Avery,Timberwolves,Minnesota,Guard,30,6.2,180,1999,1,14,Duke,8/8/1979,1999,2002,2.7,1.4,0.7
Dennis Awtrey,Suns,Phoenix,Center,20,6.1,235,1970,3,46,Santa Clara,2/22/1948,1970,1981,4.8,2,4.6
Gustavo Ayon,,,,,,,Undrafted,Undrafted,Undrafted,"Tepic, Mexico",4/1/1985,2011,2016,4.7,1.3,4.4
Jeff Ayres,Spurs,San Antonio,Forward-Center,19,6.9,250,2009,2,31,Arizona State,4/29/1987,2009,2015,2.9,0.4,2.7
Deandre Ayton,Suns,Phoenix,Center,22,6.1,250,2018,1,1,Arizona,7/23/1998,2018,Present,18.2,1.9,11.5
Kelenna Azubuike,Warriors,Golden State,Guard,4,6.5,215,Undrafted,Undrafted,Undrafted,Kentucky,12/16/1983,2006,2011,10.5,1.1,4
Chris Babb,Celtics,Boston,Guard,52,6.5,225,Undrafted,Undrafted,Undrafted,Iowa State,2/14/1990,2013,2014,1.6,0.2,1.2
Luke Babbitt,Pelicans,New Orleans,Forward,22,6.9,225,2010,1,16,Nevada-Reno,6/20/1989,2010,2017,4.8,0.6,2.2
Milos Babic,Cavaliers,Cleveland,Center,0,7,240,1990,2,50,Tennessee Tech,11/23/1968,1990,1991,1.8,0.5,1
Johnny Bach,Celtics,Boston,Forward,17,6.2,180,1948,,,Fordham,7/10/1924,1948,1948,3.5,0.7,
Dwayne Bacon,Hornets,Charlotte,Guard-Forward,7,6.6,221,2017,2,40,Florida State,8/30/1995,2017,Present,5.7,1.3,2.6
Jim Baechtold,Knicks,New York,Forward,10,6.4,205,1952,1,2,Eastern Kentucky,12/9/1927,1952,1956,9.7,2.1,3.1
Dalibor Bagaric,Bulls,Chicago,Center,11,7.1,290,2000,1,24,,7/2/1980,2000,2002,2.6,0.4,2.5
John Bagley,Cavaliers,Cleveland,Guard,5,6,185,1982,1,12,Boston College,4/23/1960,1982,1993,8.7,6,2.6
Marvin Bagley III,Kings,Sacramento,Forward,35,6.1,235,2018,1,2,Duke,3/14/1999,2018,Present,14.2,0.8,7.5
Carl Bailey,Trail Blazers,Portland,Center,21,7,210,1980,3,66,Tuskegee,4/23/1958,1981,1981,2,0,0
Gus Bailey,Rockets,Houston,Guard,20,6.5,185,1974,2,23,Texas-El Paso,2/18/1951,1974,1979,2.6,1.1,1.7
James Bailey,SuperSonics,Seattle,Forward,2,6.9,220,1979,1,6,Rutgers,5/21/1957,1979,1987,8.8,0.8,5
Thurl Bailey,Jazz,Utah,Forward,41,6.1,247,1983,1,7,North Carolina State,4/7/1961,1983,1998,12.8,1.4,5.1
Toby Bailey,Suns,Phoenix,Guard,11,6.6,213,1998,2,45,California-Los Angeles,11/19/1975,1998,2002,3.3,0.6,1.7
Cameron Bairstow,Bulls,Chicago,Forward-Center,41,6.9,250,2014,2,49,New Mexico,12/7/1990,2014,2015,1.2,0.2,1
Mark Baker,,,,,,,Undrafted,Undrafted,Undrafted,Ohio State,11/11/1969,1998,1998,0,0,0
Maurice Baker,,,,,,,Undrafted,Undrafted,Undrafted,Oklahoma State,7/28/1979,2002,2004,0,0.2,0.4
Norm Baker,Stags,Chicago,Guard,,6,180,Undrafted,Undrafted,Undrafted,,2/17/1923,1946,1946,0,0,
Ron Baker,,,,,,,Undrafted,Undrafted,Undrafted,Wichita State,3/30/1993,2016,2018,3.1,1.8,1.4
Vin Baker,SuperSonics,Seattle,Forward,34,6.1,240,1993,1,8,Hartford,11/23/1971,1993,2005,15,1.9,7.4
Wade Baldwin IV,,,,,,,2016,1,17,Vanderbilt,3/29/1996,2016,2018,3.1,1.4,1.2
Renaldo Balkman,,,,,,,2006,1,20,South Carolina,7/14/1984,2006,2011,4,0.6,3.5
Renaldo Balkman,,,,,,,2006,1,20,South Carolina,7/14/1984,2006,2011,4,0.6,3.5
Lonzo Ball,Pelicans,New Orleans,Guard,2,6.6,190,2017,1,2,UCLA,10/27/1997,2017,Present,11.8,7,6.1
Greg Ballard,Bullets,Washington,Forward,42,6.7,215,1977,1,4,Oregon,1/29/1955,1977,1988,12.4,2.2,6.1
Herschel Baltimore,Bombers,St. Louis,Forward,,6.4,195,Undrafted,Undrafted,Undrafted,Penn State,6/21/1921,1946,1946,2.4,0.3,
Mo Bamba,Magic,Orlando,Center,5,7,231,2018,1,6,University of Texas at Austin,5/12/1998,2018,Present,5.4,0.7,4.9
Gene Banks,Spurs,San Antonio,Forward,20,6.7,215,1981,2,28,Duke,5/15/1959,1981,1986,11.3,2.9,5.8
Marcus Banks,Celtics,Boston,Guard,15,6.2,205,2003,1,13,Nevada-Las Vegas,11/19/1981,2003,2010,5.9,2.1,1.5
Ken Bannister,Knicks,New York,Forward,51,6.9,235,1984,7,156,Saint Augustine's,4/1/1960,1984,1990,5.9,0.4,3.5
Mike Bantom,Pacers,Indiana,Forward,42,6.9,200,1973,1,8,Saint Joseph's,12/3/1951,1973,1981,12.1,2.3,6.4
John Barber,Hawks,St. Louis,Forward,25,6.6,210,1956,,,Cal State-Los Angeles,6/27/1927,1956,1956,1.4,0,1.2
Leandro Barbosa,Suns,Phoenix,Guard,19,6.3,194,2003,1,28,,11/28/1982,2003,2016,10.6,2.1,2
Stephen Bardo,Mavericks,Dallas,Guard,25,6.5,190,1990,2,41,Illinois,4/5/1968,1991,1995,2.2,1.3,1.8
J.J. Barea,Mavericks,Dallas,Guard,5,5.1,180,Undrafted,Undrafted,Undrafted,Northeastern,6/26/1984,2006,Present,7.7,3.9,1.8
Andrea Bargnani,,,,,,,2006,1,1,,10/26/1985,2006,2015,14.3,1.2,4.6
Cliff Barker,Olympians,Indianapolis,Guard,,6.2,185,1949,5,,Kentucky,1/15/1921,1949,1951,3.7,2,1.8
Tom Barker,Hawks,Atlanta,Center,6,6.1,225,1976,4,53,Hawaii,3/11/1955,1976,1978,6.5,0.8,5.3
Charles Barkley,76ers,Philadelphia,Forward,34,6.6,252,1984,1,5,Auburn,2/20/1963,1984,1999,22.1,3.9,11.7
Erick Barkley,Trail Blazers,Portland,Guard,1,6.1,185,2000,1,28,St. John's (NY),2/21/1978,2000,2002,2.9,1.5,0.8
